"","xx","me","lo","hi","Function"
"17","0",0.091003227617536,0.0464956602079461,0.16270551144135,"Lipid_degradation_CR"
"27","7",0.256304091193326,0.194562966044884,0.320773871344033,"Lipid_degradation_CR"
"37","19",0.315987465186683,0.236562138333364,0.383134145457118,"Lipid_degradation_CR"
"47","33",0.175290460643551,0.0983803945765278,0.262572797240289,"Lipid_degradation_CR"
"57","45",0.269817919712171,0.188712744782858,0.346240752076732,"Lipid_degradation_CR"
"18","0",0.338393806449878,0.297387371278689,0.379293301142582,"Aromatic_compound_biosynthesis_CR"
"28","7",0.565374358141352,0.483490927165578,0.645983475064462,"Aromatic_compound_biosynthesis_CR"
"38","19",0.561889717087169,0.487304080976864,0.619332113250398,"Aromatic_compound_biosynthesis_CR"
"48","33",0.378569550889264,0.336046524067507,0.429186797227501,"Aromatic_compound_biosynthesis_CR"
"58","45",0.490947477670477,0.408070296235152,0.572635254598531,"Aromatic_compound_biosynthesis_CR"
"19","0",0.286731269617336,0.256191772284719,0.323904662707916,"Vitamin_biosynthesis_CR"
"29","7",0.446817353556664,0.366202812214577,0.532526230717989,"Vitamin_biosynthesis_CR"
"39","19",0.491082238643541,0.404193014107433,0.56019418939976,"Vitamin_biosynthesis_CR"
"49","33",0.322179187431557,0.274932630459089,0.39248755013955,"Vitamin_biosynthesis_CR"
"59","45",0.431627817589534,0.345462916177139,0.520602740530766,"Vitamin_biosynthesis_CR"
"110","0",0.46872745929555,0.418881164627501,0.532371128180345,"Organic_anion_biosynthesis_CR"
"210","7",0.63665525503981,0.542084255454779,0.727222321563715,"Organic_anion_biosynthesis_CR"
"310","19",0.655847710088122,0.553277677254778,0.742044191825002,"Organic_anion_biosynthesis_CR"
"410","33",0.53871826591034,0.468321464494351,0.629220908347246,"Organic_anion_biosynthesis_CR"
"510","45",0.62043626214643,0.520244026390049,0.716008920557171,"Organic_anion_biosynthesis_CR"
"111","0",0.585698403108567,0.525415577218943,0.618798915356692,"SCFA_biosynthesis_CR"
"211","7",0.677942010125067,0.624264085254386,0.714308417967654,"SCFA_biosynthesis_CR"
"311","19",0.64069384478204,0.59445997136279,0.684533606958536,"SCFA_biosynthesis_CR"
"411","33",0.580707426247496,0.52516805371593,0.620497177941806,"SCFA_biosynthesis_CR"
"511","45",0.628060662534331,0.571049512466814,0.667029410409488,"SCFA_biosynthesis_CR"
"112","0",0.1607029385698,0.1308276322713,0.193276482252885,"Amino_acid_derivative_biosynthesis_CR"
"212","7",0.287355096841867,0.227293075355558,0.358645154215563,"Amino_acid_derivative_biosynthesis_CR"
"312","19",0.260769180673573,0.217415173790784,0.316339785385517,"Amino_acid_derivative_biosynthesis_CR"
"412","33",0.169124402478889,0.133524235358759,0.197105696351153,"Amino_acid_derivative_biosynthesis_CR"
"512","45",0.25290205510923,0.199162001890719,0.318151005464003,"Amino_acid_derivative_biosynthesis_CR"
"113","0",0.369161273670619,0.323642964868529,0.414554989699155,"Amino_acid_biosynthesis_CR"
"213","7",0.587359963231503,0.488378236382873,0.669598158786517,"Amino_acid_biosynthesis_CR"
"313","19",0.591393338970508,0.490820926563328,0.667571638104038,"Amino_acid_biosynthesis_CR"
"413","33",0.43764043174642,0.365341773534052,0.527989452085227,"Amino_acid_biosynthesis_CR"
"513","45",0.535264834977324,0.43061095914852,0.624966708683631,"Amino_acid_biosynthesis_CR"
